SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,BASEMENTAREA_AVG,YEARS_BEGINEXPLUATATION_AVG,YEARS_BUILD_AVG,COMMONAREA_AVG,ELEVATORS_AVG,ENTRANCES_AVG,FLOORSMAX_AVG,FLOORSMIN_AVG,LANDAREA_AVG,LIVINGAPARTMENTS_AVG,LIVINGAREA_AVG,NONLIVINGAPARTMENTS_AVG,NONLIVINGAREA_AVG,APARTMENTS_MODE,BASEMENTAREA_MODE,YEARS_BEGINEXPLUATATION_MODE,YEARS_BUILD_MODE,COMMONAREA_MODE,ELEVATORS_MODE,ENTRANCES_MODE,FLOORSMAX_MODE,FLOORSMIN_MODE,LANDAREA_MODE,LIVINGAPARTMENTS_MODE,LIVINGAREA_MODE,NONLIVINGAPARTMENTS_MODE,NONLIVINGAREA_MODE,APARTMENTS_MEDI,BASEMENTAREA_MEDI,YEARS_BEGINEXPLUATATION_MEDI,YEARS_BUILD_MEDI,COMMONAREA_MEDI,ELEVATORS_MEDI,ENTRANCES_MEDI,FLOORSMAX_MEDI,FLOORSMIN_MEDI,LANDAREA_MEDI,LIVINGAPARTMENTS_MEDI,LIVINGAREA_MEDI,NONLIVINGAPARTMENTS_MEDI,NONLIVINGAREA_MEDI,FONDKAPREMONT_MODE,HOUSETYPE_MODE,TOTALAREA_MODE,WALLSMATERIAL_MODE,EMERGENCYSTATE_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR
110246,0,0,0,0,0,0,90000.0,810000.0,23683.5,810000.0,6,1,4,1,1,0.008575,-20336,365243,-1174.0,-2879,,1,0,0,1,1,0,10,2.0,2,2,6,10,0,0,0,0,0,0,53,,0.646088788571964,0.3979463219016906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,7,2,0.0,0.0,0.0,0.0,-2711.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,6.0
118041,1,0,1,0,0,0,202500.0,397881.0,22972.5,328500.0,3,5,4,0,1,0.008019,-12260,-1440,-6048.0,-4410,,1,1,0,1,0,0,10,2.0,2,2,4,11,0,1,1,0,1,1,45,,0.7123743311734254,0.5370699579791587,0.0124,,0.9697,,,0.0,0.069,0.0417,,,,,,,0.0126,,0.9697,,,0.0,0.069,0.0417,,,,,,,0.0125,,0.9697,,,0.0,0.069,0.0417,,,,,,,0,0,0.0091,6,0,0.0,0.0,0.0,0.0,-2525.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0
107560,0,0,0,0,1,0,216000.0,341280.0,27094.5,270000.0,6,0,2,3,5,0.00702,-8198,-1268,-5759.0,-879,,1,1,0,1,0,0,17,1.0,2,2,6,15,0,0,0,0,0,0,27,0.761647875965966,0.6554119798913541,0.6690566947824041,0.122,,0.9896,,,0.28,0.1724,0.2775,,,,0.0751,,0.0069,0.1513,,0.9841,,,0.282,0.069,0.3333,,,,0.0464,,0.0073,0.1499,,0.9921,,,0.28,0.2069,0.3333,,,,0.0764,,0.006999999999999999,0,0,0.1715,4,0,3.0,2.0,3.0,2.0,-291.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0
100671,0,0,0,0,1,1,135000.0,900000.0,46732.5,900000.0,6,0,3,1,5,0.032561,-12052,-1374,-5782.0,-4057,,1,1,0,1,0,1,12,3.0,1,1,0,17,0,0,0,0,0,0,41,,0.6234067354112205,0.6722428897082422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,7,2,2.0,0.0,2.0,0.0,-79.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,5.0
117485,0,1,0,1,1,0,360000.0,202500.0,10125.0,202500.0,6,5,1,1,1,0.030755,-17622,-5943,-6258.0,-1176,6.0,1,1,0,1,0,0,2,2.0,2,2,0,15,0,0,0,0,0,0,57,0.6752096379537371,0.6024248775773596,,0.1505,0.0838,0.9831,0.7688,0.0188,0.16,0.1379,0.3333,0.375,0.0872,0.121,0.1412,0.0077,0.0061,0.1534,0.087,0.9831,0.7779,0.019,0.1611,0.1379,0.3333,0.375,0.0892,0.1322,0.1471,0.0078,0.0065,0.152,0.0838,0.9831,0.7719,0.0189,0.16,0.1379,0.3333,0.375,0.0887,0.1231,0.1437,0.0078,0.0063,3,0,0.1227,4,0,0.0,0.0,0.0,0.0,-453.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2.0,0.0,2.0
116956,0,0,1,1,0,0,180000.0,562491.0,27058.5,454500.0,6,5,4,1,1,0.0105,-11082,-1013,-979.0,-3636,16.0,1,1,1,1,0,0,13,2.0,3,3,2,16,0,0,0,0,0,0,37,,0.4675958729244436,0.3876253444214701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,7,2,1.0,0.0,0.0,0.0,-358.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
118404,0,1,1,1,1,0,675000.0,675000.0,33750.0,675000.0,6,5,1,1,1,0.04622,-17531,-1319,-1926.0,-1049,1.0,1,1,0,1,0,0,2,2.0,1,1,0,14,0,1,1,0,0,0,42,,0.6515943059778407,0.5370699579791587,0.1722,,0.997,0.9592,,0.24,0.1034,0.5417,0.5833,,,0.2116,,0.3429,0.1754,,0.997,0.9608,,0.2417,0.1034,0.5417,0.5833,,,0.2204,,0.363,0.1738,,0.997,0.9597,,0.24,0.1034,0.5417,0.5833,,,0.2154,,0.3501,3,0,0.24100000000000002,2,0,2.0,0.0,2.0,0.0,-2355.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0
101430,0,0,0,0,0,0,247500.0,675000.0,28728.0,675000.0,6,1,4,4,1,0.04622,-22170,365243,-9234.0,-4044,,1,0,0,1,0,0,10,1.0,1,1,6,12,0,0,0,0,0,0,53,,0.6416964566416712,0.7544061731797895,0.0619,,0.9871,,,,0.1379,0.1667,,,,0.0563,,,0.063,,0.9871,,,,0.1379,0.1667,,,,0.0586,,,0.0625,,0.9871,,,,0.1379,0.1667,,,,0.0573,,,0,0,0.0498,4,0,4.0,1.0,4.0,1.0,-2104.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,2.0
118601,0,0,0,0,0,0,90000.0,180000.0,13585.5,180000.0,6,1,4,2,0,0.018801,-20378,365243,-531.0,-2917,,1,0,0,1,0,0,10,1.0,2,2,2,16,0,0,0,0,0,0,53,,0.4297445688408609,0.4329616670974407,0.033,0.0,0.9617,0.4764,0.0129,0.0,0.1379,0.125,0.1667,0.0551,0.0269,0.0494,0.0,0.0325,0.0336,0.0,0.9618,0.4969,0.013000000000000001,0.0,0.1379,0.125,0.1667,0.0564,0.0294,0.0515,0.0,0.0344,0.0333,0.0,0.9617,0.4834,0.013000000000000001,0.0,0.1379,0.125,0.1667,0.0561,0.0274,0.0503,0.0,0.0332,3,0,0.0502,5,0,5.0,0.0,5.0,0.0,-430.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,2.0,4.0
109379,0,1,0,0,1,0,157500.0,135000.0,6750.0,135000.0,1,1,4,1,1,0.031329,-23455,365243,-6630.0,-4502,,1,0,0,1,1,0,10,2.0,2,2,6,9,0,0,0,0,0,0,53,,0.43538569711994135,0.7726311345553628,0.0619,0.0488,0.9801,0.728,0.0074,0.0,0.1724,0.1667,0.2083,0.0591,0.0504,0.0516,0.0,0.0,0.063,0.0506,0.9801,0.7387,0.0075,0.0,0.1724,0.1667,0.2083,0.0604,0.0551,0.0538,0.0,0.0,0.0625,0.0488,0.9801,0.7316,0.0075,0.0,0.1724,0.1667,0.2083,0.0601,0.0513,0.0525,0.0,0.0,3,0,0.0447,1,0,2.0,0.0,2.0,0.0,-174.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
109308,1,0,1,1,0,2,112500.0,314055.0,15237.0,238500.0,6,5,4,1,1,0.01885,-12240,-3094,-910.0,-4738,13.0,1,1,0,1,0,0,17,4.0,2,2,5,11,0,0,0,0,1,1,37,0.17120672339499246,0.5303985540809941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,7,2,11.0,0.0,11.0,0.0,-1672.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
104284,0,1,1,1,0,0,72000.0,270000.0,13500.0,270000.0,1,5,4,1,1,0.019689,-16792,-92,-8792.0,-342,13.0,1,1,0,1,0,0,17,2.0,2,2,5,12,0,0,0,0,0,0,8,,0.4625691401336213,,0.1227,0.011000000000000001,0.9821,0.7552,0.0211,0.0,0.2759,0.1667,0.2083,0.14,0.1,0.1029,0.0077,0.0295,0.125,0.0114,0.9821,0.7648,0.0213,0.0,0.2759,0.1667,0.2083,0.1432,0.1093,0.1072,0.0078,0.0312,0.1239,0.011000000000000001,0.9821,0.7585,0.0212,0.0,0.2759,0.1667,0.2083,0.1424,0.1018,0.1048,0.0078,0.0301,3,0,0.0989,4,0,1.0,0.0,1.0,0.0,-3364.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0
119926,1,0,1,1,1,0,157500.0,1130062.5,47880.0,1039500.0,6,5,4,3,5,0.00823,-8502,-243,-1151.0,-1163,16.0,1,1,0,1,0,0,12,1.0,2,2,3,15,0,0,0,1,1,0,44,,0.44089266456476,0.5136937663039473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,7,2,3.0,2.0,3.0,0.0,-1156.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0
117995,0,0,0,0,1,0,99000.0,97038.0,6880.5,81000.0,6,1,4,2,1,0.010966,-22954,365243,-4239.0,-4225,,1,0,0,1,0,0,10,1.0,2,2,1,13,0,0,0,0,0,0,53,0.5291313384736167,0.645453505951853,0.7726311345553628,0.168,0.0,0.9762,0.6736,0.0227,0.0,0.069,0.1667,0.2083,0.0602,0.1336,0.0621,0.0154,0.0383,0.1712,0.0,0.9762,0.6864,0.0229,0.0,0.069,0.1667,0.2083,0.0615,0.146,0.0647,0.0156,0.0405,0.1697,0.0,0.9762,0.6779999999999999,0.0228,0.0,0.069,0.1667,0.2083,0.0612,0.136,0.0632,0.0155,0.0391,3,0,0.0695,5,0,0.0,0.0,0.0,0.0,-1818.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2.0,0.0,1.0
111497,1,0,1,1,0,1,126000.0,201024.0,13729.5,144000.0,6,0,4,1,1,0.025164,-9875,-1400,-4020.0,-2470,8.0,1,1,0,1,0,0,17,3.0,2,2,6,16,0,0,0,1,1,0,45,,0.2449125402901532,0.6263042766749393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,7,2,4.0,0.0,4.0,0.0,-1527.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,4.0
103573,0,1,0,1,1,0,121500.0,270000.0,13500.0,270000.0,1,5,4,1,1,0.031329,-10440,-2285,-5647.0,-1814,16.0,1,1,0,1,0,0,12,2.0,2,2,6,11,0,0,0,0,0,0,21,0.4851568026502676,0.7147966934643109,0.41184855592423975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,7,2,3.0,0.0,3.0,0.0,-331.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
117963,1,0,0,0,1,0,135000.0,346968.0,25375.5,274500.0,6,5,4,1,1,0.005313,-17647,-1206,-8586.0,-1181,,1,1,0,1,0,0,10,2.0,2,2,5,17,0,0,0,0,0,0,17,0.421333735735079,0.6126439243121187,0.2353105173615833,0.0464,0.057,0.9881,0.8368,0.0074,0.0,0.1034,0.1667,0.2083,0.0598,0.0378,0.0462,0.0,0.0,0.0473,0.0592,0.9881,0.8432,0.0074,0.0,0.1034,0.1667,0.2083,0.0611,0.0413,0.0481,0.0,0.0,0.0468,0.057,0.9881,0.8390000000000001,0.0074,0.0,0.1034,0.1667,0.2083,0.0608,0.0385,0.047,0.0,0.0,4,0,0.0404,4,0,3.0,0.0,3.0,0.0,-2694.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,3.0
119369,0,0,0,0,0,0,135000.0,474048.0,25843.5,360000.0,6,5,4,1,2,0.006670999999999999,-15088,-497,-1172.0,-3658,,1,1,0,1,0,0,4,2.0,2,2,1,13,0,0,0,0,0,0,38,0.4371456254461436,0.6404838443007084,0.8347841592331774,0.10099999999999999,0.1398,0.998,,,0.0,0.2069,0.1667,,0.2811,,0.1078,,0.0,0.1029,0.1451,0.998,,,0.0,0.2069,0.1667,,0.2876,,0.1123,,0.0,0.102,0.1398,0.998,,,0.0,0.2069,0.1667,,0.28600000000000003,,0.1097,,0.0,0,0,0.0919,5,0,0.0,0.0,0.0,0.0,-2806.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
117115,1,0,0,0,1,1,90000.0,545040.0,25407.0,450000.0,6,5,4,1,1,0.02461,-14607,-947,-2239.0,-14,,1,1,0,1,0,0,6,3.0,2,2,5,16,0,0,0,0,0,0,37,,0.6137797935602317,0.501075160239048,0.0082,0.0,0.9732,0.6328,,,0.0345,0.0417,0.0417,0.0127,0.0067,0.0056,0.0,0.0,0.0084,0.0,0.9732,0.6472,,,0.0345,0.0417,0.0417,0.013000000000000001,0.0073,0.0059,0.0,0.0,0.0083,0.0,0.9732,0.6377,,,0.0345,0.0417,0.0417,0.013000000000000001,0.0068,0.0057,0.0,0.0,3,0,0.0074,5,0,1.0,0.0,1.0,0.0,-745.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4.0
